"anime_id","title","type","source","episodes","status","aired_string","aired","aired_year","duration","duration_minutes","rating","score","scored_by","rank","popularity","members","favorites","studio","genre","main_genre"
1002,"Top wo Nerae 2! Diebuster","OVA","Original",6,"Finished Airing","Oct 3, 2004 to Aug 25, 2006","{'from': '2004-10-03', 'to': '2006-08-25'}",2004,"30 min. per ep.",30,"R+ - Mild Nudity",7.76,23783,976,1553,48855,641,"Gainax","Action, Sci-Fi, Space, Comedy, Drama, Mecha","Action"
1460,"Uchuu no Kishi Tekkaman Blade II","OVA","Other",6,"Finished Airing","Jul 21, 1994 to Apr 21, 1995","{'from': '1994-07-21', 'to': '1995-04-21'}",1994,"30 min. per ep.",30,"R+ - Mild Nudity",6.4,1259,6015,6128,2799,4,"Tatsunoko Production","Action, Adventure, Space, Mecha, Military, Drama, Sci-Fi","Action"
1741,"Hit wo Nerae! Specials","Special","Other",4,"Finished Airing","May 19, 2004 to Jun 30, 2004","{'from': '2004-05-19', 'to': '2004-06-30'}",2004,"14 min. per ep.",14,"PG-13 - Teens 13 or older",5.58,513,8234,7933,1191,0,"","Comedy, Ecchi","Comedy"
31848,"Ojisan to Marshmallow","TV","Manga",12,"Finished Airing","Jan 8, 2016 to Mar 25, 2016","{'from': '2016-01-08', 'to': '2016-03-25'}",2016,"3 min. per ep.",3,"PG-13 - Teens 13 or older",6.67,23252,4898,1733,41679,56,"Creators in Pack","Slice of Life, Comedy, Romance","Slice of Life"
28563,"Hi Asobi wa Kaji no Moto: Kenta to Nyanta no Hi no Youjin","OVA","Other",1,"Finished Airing","Dec, 2007","{'from': None, 'to': None}",2014,"13 min.",13,"G - All Ages",6.2,10,10429,13365,82,0,"","Kids, Drama","Kids"
9957,"Hoshizora no Violin","Movie","Other",1,"Finished Airing","1994","{'from': None, 'to': None}",1996,"1 hr. 27 min.",87,"G - All Ages",6.72,82,4661,9242,585,1,"","Historical, Slice of Life","Historical"
7808,"Zukkoke Knight: Don De La Mancha","TV","Other",23,"Finished Airing","Apr 15, 1980 to Sep 23, 1980","{'from': '1980-04-15', 'to': '1980-09-23'}",1980,"30 min. per ep.",30,"G - All Ages",6.27,57,6534,10683,265,2,"","Adventure, Comedy, Historical, Romance","Adventure"
35093,"Saigo no Kuushuu: Kumagaya","OVA","Other",1,"Finished Airing","1993","{'from': None, 'to': None}",1995,"29 min.",29,"G - All Ages",6,3,11926,14101,40,0,"","Drama, Historical","Drama"
35243,"Ken-chan to Bouen Kazoku","OVA","Original",1,"Finished Airing","1991","{'from': None, 'to': None}",1993,"18 min.",18,"G - All Ages",5.5,2,10821,14143,37,0,"","Kids, Drama","Kids"
5190,"Mujintou Monogatari XX","OVA","Other",4,"Finished Airing","Dec 10, 1999 to Jun 23, 2000","{'from': '1999-12-10', 'to': '2000-06-23'}",1999,"30 min. per ep.",30,"Rx - Hentai",5.47,202,NA,8995,677,0,"","Hentai","Hentai"
1233,"Aozora Shoujo-tai","OVA","Other",7,"Finished Airing","Oct 21, 1994 to Aug 21, 1996","{'from': '1994-10-21', 'to': '1996-08-21'}",1994,"28 min. per ep.",28,"PG-13 - Teens 13 or older",6.57,1879,5311,5072,4539,7,"","Action, Comedy, Military, Romance, Shounen","Action"
9056,"Agitated Screams of Maggots","Music","Other",1,"Finished Airing","Nov, 2006","{'from': None, 'to': None}",1992,"3 min.",3,"R+ - Mild Nudity",4.31,2471,9401,5384,3868,5,"","Dementia, Music, Horror","Dementia"
32051,"One Piece: Adventure of Nebulandia","Special","Manga",1,"Finished Airing","Dec 19, 2015","{'from': '2015-12-19', 'to': '2015-12-19'}",2015,"1 hr. 46 min.",106,"PG-13 - Teens 13 or older",7.44,8754,1859,3022,15503,3,"Toei Animation","Action, Adventure, Comedy, Super Power, Fantasy, Shounen","Action"
36043,"Net-juu no Susume Special","Special","Manga",1,"Finished Airing","Dec 8, 2017","{'from': '2017-12-08', 'to': '2017-12-08'}",2017,"24 min.",24,"PG-13 - Teens 13 or older",7.53,27261,1531,1723,42371,26,"Signal. MD","Game, Comedy, Romance","Game"
9801,"Hustle!! Tokitama-kun","Special","Other",1,"Finished Airing","1998","{'from': None, 'to': None}",2003,"4 min.",4,"PG-13 - Teens 13 or older",4.39,213,9393,9638,470,0,"","Dementia","Dementia"
7497,"Mikan-bune","Movie","Other",1,"Finished Airing","Feb 11, 1927","{'from': '1927-02-11', 'to': '1927-02-11'}",1927,"9 min.",9,"G - All Ages",4.92,174,9108,10036,377,1,"","Historical","Historical"
33026,"Time Bokan 24","TV","Original",24,"Finished Airing","Oct 1, 2016 to Mar 18, 2017","{'from': '2016-10-01', 'to': '2017-03-18'}",2016,"23 min. per ep.",23,"PG-13 - Teens 13 or older",5.87,578,7655,5700,3384,4,"Tatsunoko Production","Adventure, Comedy, Mecha","Adventure"
8740,"One Piece Film: Strong World Episode 0","OVA","Manga",1,"Finished Airing","Apr, 2010","{'from': None, 'to': None}",2016,"18 min.",18,"PG-13 - Teens 13 or older",8.12,26407,415,1647,44794,40,"Toei Animation","Action, Adventure, Comedy, Fantasy, Shounen, Super Power","Action"
9325,"Shin Seiki Cream Lemon","OVA","Other",2,"Finished Airing","Jul 27, 2001 to Aug 23, 2002","{'from': '2001-07-27', 'to': '2002-08-23'}",2001,"30 min. per ep.",30,"Rx - Hentai",5.74,173,NA,8567,857,3,"","Hentai, Yuri","Hentai"
11609,"Shuukan Shimakou: Sono Toki, Shimakou ga Ugoita!","TV","Other",11,"Finished Airing","Jun 29, 2011 to Sep 14, 2011","{'from': '2011-06-29', 'to': '2011-09-14'}",2011,"3 min. per ep.",3,"PG-13 - Teens 13 or older",5.58,24,12150,11416,187,0,"DLE","Comedy","Comedy"
